n,Mass M(n),Energy E(n),Spin f(n),B(n),Sigma(n),Tuning T(n)
1,1.4238109875908756e-27,2.18e-18,271824407540176.5,1.0,1.0,1.0
2,2.2722866836959926e-27,2.18e-18,215170663214019.75,1.0,1.0,1.0
3,2.694752723520812e-27,2.18e-18,197585540990888.6,1.0,1.0,1.0
4,2.8519843177501803e-27,2.18e-18,192061826029798.72,1.0,1.0,1.0
5,2.8602965981072563e-27,2.18e-18,191782548470592.4,1.0,1.0,1.0
6,2.800798475076967e-27,2.18e-18,193808887898050.1,1.0,1.0,1.0
7,2.7266430575456764e-27,2.18e-18,196426679829030.1,1.0,1.0,1.0
8,2.6680863830392445e-27,2.18e-18,198570476052734.9,1.0,1.0,1.0
9,2.6372819345578838e-27,2.18e-18,199726798342272.78,1.0,1.0,1.0
10,2.6334695029378713e-27,2.18e-18,199871316700462.72,1.0,1.0,1.0
11,2.6483367959818274e-27,2.18e-18,199309506053775.72,1.0,1.0,1.0
12,2.6709410959675735e-27,2.18e-18,198464331208683.16,1.0,1.0,1.0
13,2.6915510219134162e-27,2.18e-18,197703023795876.03,1.0,1.0,1.0
14,2.7039824663832167e-27,2.18e-18,197248034620326.47,1.0,1.0,1.0
15,2.706336558813202e-27,2.18e-18,197162228380984.47,1.0,1.0,1.0
16,2.700385139869647e-27,2.18e-18,197379373187367.2,1.0,1.0,1.0
17,2.690096408541738e-27,2.18e-18,197756468459738.94,1.0,1.0,1.0
18,2.679893764442855e-27,2.18e-18,198132550936849.03,1.0,1.0,1.0
19,2.6731843769154126e-27,2.18e-18,198381040153434.97,1.0,1.0,1.0
20,2.6715138426288494e-27,2.18e-18,198443055654286.56,1.0000000000000004,1.0,1.0000000000000004
21,2.6744620528374602e-27,2.18e-18,198333648013838.03,1.0000000000000024,1.0,1.0000000000000024
22,2.6801649101989853e-27,2.18e-18,198122528389551.06,1.0000000000000127,1.0,1.0000000000000127
23,2.686187145515663e-27,2.18e-18,197900315656976.34,1.0000000000000615,1.0,1.0000000000000615
24,2.6904165494807312e-27,2.18e-18,197744702284536.4,1.0000000000002869,1.0,1.0000000000002869
25,2.6916994938375584e-27,2.18e-18,197697571152814.16,1.0000000000012854,1.0,1.0000000000012854
26,2.6900621377956473e-27,2.18e-18,197757728140702.8,1.0000000000055347,1.0,1.0000000000055347
27,2.686513940928439e-27,2.18e-18,197888278704323.94,1.0000000000228972,1.0,1.0000000000228972
28,2.6825608040146998e-27,2.18e-18,198034033363485.66,1.0000000000910148,1.0,1.0000000000910148
29,2.679627816163124e-27,2.18e-18,198142382843990.3,1.000000000347589,1.0,1.000000000347589
30,2.6785917672561064e-27,2.18e-18,198180698752190.7,1.0000000012754076,1.0,1.0000000012754076
31,2.679560726069915e-27,2.18e-18,198144863345289.7,1.0000000044963495,1.0,1.0000000044963495
32,2.681939784995371e-27,2.18e-18,198056960012202.9,1.0000000152299797,1.0,1.0000000152299797
33,2.684723910768012e-27,2.18e-18,197954238366097.78,1.000000049564053,1.0,1.000000049564053
34,2.686891939067602e-27,2.18e-18,197874358525581.72,1.0000001549753135,1.0,1.0000001549753135
35,2.687757854555763e-27,2.18e-18,197842481346979.12,1.0000004655715715,1.0,1.0000004655715715
36,2.6871667265839244e-27,2.18e-18,197864241030247.03,1.0000013438122777,1.0,1.0000013438122777
37,2.6854873466668266e-27,2.18e-18,197926098945861.06,1.000003726653172,1.0,1.000003726653172
38,2.6834269250412097e-27,2.18e-18,198002071382101.12,1.000009929504306,1.0,1.000009929504306
39,2.6817501341115323e-27,2.18e-18,198063963090711.34,1.0000254193465161,1.0,1.0000254193465161
40,2.681008247112251e-27,2.18e-18,198091365265890.34,1.0000625215037748,1.0,1.0000625215037748
41,2.6813697376250612e-27,2.18e-18,198078011911102.06,1.0001477483602321,1.0,1.0001477483602321
42,2.682600024957497e-27,2.18e-18,198032585680302.9,1.0003354626279024,1.0,1.0003354626279024
43,2.6841825097448347e-27,2.18e-18,197974201096492.56,1.0007318024188805,1.0,1.0007318024188805
44,2.6855254310167637e-27,2.18e-18,197924695512206.8,1.0015338106793246,1.0,1.0015338106793246
45,2.6861748294804202e-27,2.18e-18,197900769340117.44,1.0030887154082369,1.0,1.0030887154082369
46,2.6859593877708793e-27,2.18e-18,197908706024739.5,1.0059760228950059,1.0,1.0059760228950059
47,2.685023897155281e-27,2.18e-18,197943179761435.7,1.0111089965382423,1.0,1.0111089965382423
48,2.6837515611604424e-27,2.18e-18,197990095503084.6,1.0198410947443703,1.0,1.0198410947443703
49,2.6826141914113885e-27,2.18e-18,198032062790502.6,1.0340474547345992,1.0,1.0340474547345992
50,2.682008956456965e-27,2.18e-18,198054405960751.22,1.0561347628341338,1.0,1.0561347628341338
51,2.6821351436345614e-27,2.18e-18,198049746944870.62,1.0889216174593863,1.0,1.0889216174593863
52,2.6829411239306247e-27,2.18e-18,198019996723704.66,1.1353352832366126,1.0,1.1353352832366126
53,2.684145660484065e-27,2.18e-18,197975560035024.0,1.1978986990836147,1.0,1.1978986990836147
54,2.685321941307184e-27,2.18e-18,197932194589917.16,1.2780373004531942,1.0,1.2780373004531942
55,2.6860274302367544e-27,2.18e-18,197906199296493.38,1.3753110988513995,1.0,1.3753110988513995
56,2.685955633304014e-27,2.18e-18,197908844344488.78,1.4867522559599717,1.0,1.4867522559599717
57,2.6850679026254362e-27,2.18e-18,197941557713373.03,1.6065306597126334,1.0,1.6065306597126334
58,2.6836451758051155e-27,2.18e-18,197994019836693.88,1.726149037073691,1.0,1.726149037073691
59,2.682209242009953e-27,2.18e-18,198047011277268.62,1.835270211411272,1.0,1.835270211411272
60,2.6813182766398473e-27,2.18e-18,198079912700132.4,1.9231163463866359,1.0,1.9231163463866359
61,2.6813197503354095e-27,2.18e-18,198079858266205.16,1.9801986733067554,1.0,1.9801986733067554
62,2.682188633208499e-27,2.18e-18,198047772130484.4,2.0,1.0,2.0
63,2.683579259719831e-27,2.18e-18,197996451460524.06,1.9801986733067554,1.02563187435648,2.030954876901822
64,2.6849881126130556e-27,2.18e-18,197944498814291.16,1.9231163463866359,1.087489727686054,2.091369271840602
65,2.6858919651238236e-27,2.18e-18,197911190012418.62,1.835270211411272,1.1684989696909387,2.1445113511385427
66,2.6859627722809663e-27,2.18e-18,197908581334957.9,1.726149037073691,1.2336710117273315,2.1295000289588595
67,2.6852725958996784e-27,2.18e-18,197934013213461.25,1.6065306597126334,1.2498807830107912,2.007971798892469
68,2.6842422747030704e-27,2.18e-18,197971997125220.62,1.4867522559599717,1.2052902512409298,1.7919680001190135
69,2.683340603994621e-27,2.18e-18,198005256145255.7,1.3753110988513995,1.1186602638081231,1.5385058766593465
70,2.68283106480688e-27,2.18e-18,198024058418847.9,1.2780373004531942,1.0336426047232699,1.321033804173936
71,2.6827617940017425e-27,2.18e-18,198026614962900.3,1.1978986990836147,1.0001936601829262,1.1981306843648063
72,2.683087315056189e-27,2.18e-18,198014601975576.2,1.1353352832366126,1.0513157047731685,1.1935958134497442
73,2.6837160913959126e-27,2.18e-18,197991403882701.47,1.0889216174593863,1.1857295012082312,1.2911664863249783
74,2.684457318881376e-27,2.18e-18,197964067481903.38,1.0561347628341338,1.3647643873445776,1.4413751125526373
75,2.6850169539175908e-27,2.18e-18,197943435693834.16,1.0340474547345992,1.5257164269412309,1.577663187925347
76,2.685140930745989e-27,2.18e-18,197938865974168.5,1.0198410947443703,1.6067592773376551,1.6386391403907075
77,2.6847968880610527e-27,2.18e-18,197951547983317.75,1.0111089965382423,1.5732652967786875,1.5907426955143387
78,2.684197630919851e-27,2.18e-18,197973643461181.9,1.0059760228950059,1.4343649496848816,1.4429367474639925
79,2.6836313679714593e-27,2.18e-18,197994529195953.66,1.0030887154082369,1.2422492031485428,1.2460861574031776
80,2.6832791443143292e-27,2.18e-18,198007523756898.25,1.0015338106793246,1.0736503526487693,1.0752971290255224
81,2.6831904440031617e-27,2.18e-18,198010796574126.22,1.0007318024188805,1.0003050537223013,1.0010370793802337
82,2.6833715425585256e-27,2.18e-18,198004114667858.4,1.0003354626279024,1.0599791662266598,1.060334749623284
83,2.6838130915187916e-27,2.18e-18,197987825883156.5,1.0001477483602321,1.2398091910045206,1.239992370779492
84,2.6844106004108327e-27,2.18e-18,197965790120424.94,1.0000625215037748,1.4791250544389796,1.4792175315616543
85,2.6849239408873187e-27,2.18e-18,197946864312247.53,1.0000254193465161,1.691322784077885,1.6913657763978043
86,2.685099904386552e-27,2.18e-18,197940378148823.4,1.000009929504306,1.7967445699543032,1.796762410737247
87,2.6848653665698715e-27,2.18e-18,197949023552590.6,1.000003726653172,1.753936163614119,1.7539426999258867
88,2.6843818997963584e-27,2.18e-18,197966848413329.34,1.0000013438122777,1.5769643460708416,1.5769664652148911
89,2.6839014382330355e-27,2.18e-18,197984567246759.88,1.0000004655715715,1.331651803457487,1.3316524234367098
90,2.6835879250333235e-27,2.18e-18,197996131794696.97,1.0000001549753135,1.1116675844300201,1.1116677567110527
91,2.683483050532956e-27,2.18e-18,198000000748241.75,1.000000049564053,1.0032773535907833,1.0032774033172753
92,2.6835916382935214e-27,2.18e-18,197995994811968.4,1.0000000152299797,1.0521344872058924,1.0521345032298792
93,2.683921234128121e-27,2.18e-18,197983837104440.72,1.0000000044963495,1.244953065272366,1.24495307087011
94,2.684410924631269e-27,2.18e-18,197965778165370.62,1.0000000012754076,1.5133874132729315,1.5133874152031173
95,2.6848729807430034e-27,2.18e-18,197948742865344.66,1.000000000347589,1.7590197093663975,1.7590197099778135
96,2.6850791137312076e-27,2.18e-18,197941144476749.0,1.0000000000910148,1.8902405255555101,1.8902405257275499
97,2.6849344713977115e-27,2.18e-18,197946476130789.5,1.0000000000228972,1.8571226097166809,1.8571226097592042
98,2.684551705590477e-27,2.18e-18,197960587321500.28,1.0000000000055347,1.6709701641894474,1.6709701641986956
99,2.6841438368314265e-27,2.18e-18,197975627288981.5,1.0000000000012854,1.4009044563405515,1.4009044563423523
100,2.6838622875194544e-27,2.18e-18,197986011286726.9,1.0000000000002869,1.1484998188663185,1.148499818866648
